,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Console_Product,Filtered_Publisher,Global_Sales (zeros)
461,Rayman,PS,1995,Platform,Ubisoft,1.54,1.33,0.0,0.16,3.03,Playstation,Ubisoft,False
462,Saints Row 2,X360,2008,Action,THQ Nordic,1.94,0.79,0.02,0.28,3.03,Xbox,THQ Nordic,False
463,Tom Clancy's Splinter Cell,XB,2002,Action,Ubisoft,1.85,1.04,0.0,0.13,3.02,Xbox,Ubisoft,False
464,Mike Tyson's Punch-Out!!,NES,1987,Fighting,Nintendo,2.03,0.47,0.45,0.07,3.02,Nintendo,Nintendo,False
465,WWE SmackDown! Shut Your Mouth,PS2,2002,Sports,THQ Nordic,1.45,1.13,0.07,0.38,3.02,Playstation,THQ Nordic,False
466,FIFA 14,PS4,2013,Sports,Electronic Arts,0.61,1.85,0.11,0.44,3.01,Playstation,Electronic Arts,False
467,Killzone 2,PS3,2009,Shooter,Sony Interactive Entertainment,1.4,1.06,0.08,0.47,3.01,Playstation,Sony Interactive Entertainment,False
468,Far Cry 3,X360,2012,Shooter,Ubisoft,1.38,1.32,0.02,0.28,3.0,Xbox,Ubisoft,False
469,Epic Mickey,Wii,2010,Platform,Disney Interactive Studios,2.04,0.63,0.12,0.22,3.0,Nintendo,Disney Interactive Studios,False
470,NBA 2K13,X360,2012,Sports,Take-Two Interactive,2.6,0.2,0.01,0.19,3.0,Xbox,Take-Two Interactive,False
471,Dragon Ball Z: Budokai Tenkaichi 3,PS2,2007,Fighting,Atari,1.15,0.0,0.76,1.09,3.0,Playstation,Atari,False
472,Star Fox,SNES,1993,Shooter,Nintendo,1.61,0.51,0.8,0.07,2.99,Nintendo,Nintendo,False
473,The Sims: Livin Large,PC,2000,Misc,Electronic Arts,1.67,1.18,0.0,0.13,2.99,PC,Electronic Arts,False
474,World Soccer Winning Eleven 6 International,PS2,2002,Sports,Konami Digital Entertainment,0.12,1.26,1.16,0.45,2.99,Playstation,Konami Digital Entertainment,False
475,Devil May Cry,PS2,2001,Action,Capcom,1.36,0.86,0.64,0.13,2.99,Playstation,Capcom,False
476,Star Wars: The Old Republic,PC,2011,Role-Playing,Electronic Arts,1.58,1.01,0.0,0.38,2.96,PC,Electronic Arts,False
477,Middle-Earth: Shadow of Mordor,PS4,2014,Action,Warner Bros. Interactive Entertainment,1.01,1.43,0.05,0.47,2.96,Playstation,Warner Bros. Interactive Entertainment,False
478,Sonic Heroes,PS2,2003,Platform,Sega,1.04,1.37,0.06,0.49,2.96,Playstation,Sega,False
479,Hitman 2: Silent Assassin,PS2,2002,Action,Eidos Interactive,1.36,1.15,0.04,0.41,2.96,Playstation,Eidos Interactive,False
480,Titanfall,XOne,2014,Shooter,Electronic Arts,1.84,0.8,0.04,0.27,2.95,Xbox,Electronic Arts,False
481,Battlefield: Bad Company 2,PS3,2010,Shooter,Electronic Arts,1.33,1.1,0.08,0.44,2.95,Playstation,Electronic Arts,False
482,Wave Race 64,N64,1996,Racing,Nintendo,1.98,0.58,0.34,0.04,2.94,Nintendo,Nintendo,False
483,SOCOM II: U.S. Navy SEALs,PS2,2003,Shooter,Sony Interactive Entertainment,2.22,0.51,0.06,0.15,2.94,Playstation,Sony Interactive Entertainment,False
484,WWE SmackDown! vs. RAW 2006,PS2,2005,Fighting,THQ Nordic,1.45,1.11,0.04,0.33,2.94,Playstation,THQ Nordic,False
485,Pac-Man Collection,GBA,2001,Puzzle,Atari,2.07,0.77,0.05,0.05,2.94,Nintendo,Atari,False
486,Street Fighter IV,X360,2009,Fighting,Capcom,1.82,0.7,0.15,0.26,2.94,Xbox,Capcom,False
487,inFAMOUS,PS3,2009,Action,Sony Interactive Entertainment,1.76,0.68,0.12,0.37,2.93,Playstation,Sony Interactive Entertainment,False
488,Kirby Super Star Ultra,DS,2008,Platform,Nintendo,1.55,0.04,1.19,0.15,2.92,Nintendo,Nintendo,False
489,Call of Duty: Ghosts,XOne,2013,Shooter,Activision,1.88,0.77,0.0,0.27,2.92,Xbox,Activision,False
490,FIFA 15,X360,2014,Sports,Electronic Arts,0.79,1.92,0.0,0.21,2.92,Xbox,Electronic Arts,False
491,Super Mario World 2: Yoshi's Island,GBA,2002,Platform,Nintendo,1.75,0.45,0.62,0.09,2.91,Nintendo,Nintendo,False
492,Mass Effect,X360,2007,Role-Playing,Microsoft Game Studios,1.83,0.79,0.03,0.27,2.91,Xbox,Microsoft Game Studios,False
493,Sonic Mega Collection Plus,PS2,2004,Misc,Sega,1.54,1.14,0.0,0.22,2.9,Playstation,Sega,False
494,World Soccer Winning Eleven 7 International,PS2,2003,Sports,Konami Digital Entertainment,0.08,1.24,1.13,0.45,2.9,Playstation,Konami Digital Entertainment,False
495,Sega Superstars Tennis,X360,2008,Sports,Sega,1.75,0.86,0.0,0.28,2.89,Xbox,Sega,False
496,Hot Shots Golf 3,PS2,2001,Sports,Sony Interactive Entertainment,0.99,0.32,1.38,0.2,2.89,Playstation,Sony Interactive Entertainment,False
497,Cooking Mama: Cook Off,Wii,2007,Simulation,505 Games,1.41,1.12,0.05,0.3,2.89,Nintendo,505 Games,False
498,Call of Duty: Finest Hour,PS2,2004,Shooter,Activision,1.51,1.12,0.01,0.24,2.89,Playstation,Activision,False
499,WarioWare: Smooth Moves,Wii,2006,Puzzle,Nintendo,0.86,1.04,0.73,0.26,2.89,Nintendo,Nintendo,False
500,Syphon Filter,PS,1999,Shooter,Sony Interactive Entertainment,2.03,0.72,0.02,0.11,2.88,Playstation,Sony Interactive Entertainment,False
501,Imagine: Babyz,DS,2007,Simulation,Ubisoft,1.3,1.26,0.0,0.31,2.87,Nintendo,Ubisoft,False
502,Colin McRae Rally,PS,1998,Racing,Codemasters,0.09,2.43,0.12,0.22,2.87,Playstation,Codemasters,False
503,Madden NFL 13,X360,2012,Sports,Electronic Arts,2.53,0.15,0.0,0.17,2.86,Xbox,Electronic Arts,False
504,The Elder Scrolls III: Morrowind,XB,2002,Role-Playing,Ubisoft,2.09,0.63,0.03,0.11,2.86,Xbox,Ubisoft,False
505,Assassin's Creed IV: Black Flag,PS4,2013,Action,Ubisoft,1.07,1.31,0.06,0.42,2.85,Playstation,Ubisoft,False
506,Command & Conquer: Red Alert,PC,1996,Strategy,Virgin Interactive,1.37,1.34,0.0,0.14,2.85,PC,Other,False
507,F-Zero,SNES,1990,Racing,Nintendo,1.37,0.51,0.89,0.07,2.85,Nintendo,Nintendo,False
508,Yoshi's Story,N64,1997,Platform,Nintendo,1.29,0.53,0.98,0.05,2.85,Nintendo,Nintendo,False
509,Mortal Kombat,PS3,2011,Fighting,Warner Bros. Interactive Entertainment,1.98,0.53,0.0,0.34,2.84,Playstation,Warner Bros. Interactive Entertainment,False
510,Madden NFL 10,X360,2009,Sports,Electronic Arts,2.52,0.09,0.0,0.22,2.83,Xbox,Electronic Arts,False
511,WWE SmackDown! vs. Raw,PS2,2002,Fighting,THQ Nordic,1.32,1.08,0.04,0.39,2.83,Playstation,THQ Nordic,False
512,BioShock,X360,2007,Shooter,Take-Two Interactive,1.65,0.85,0.05,0.28,2.83,Xbox,Take-Two Interactive,False
513,Metroid Prime,GC,2002,Shooter,Nintendo,1.96,0.67,0.1,0.09,2.82,Nintendo,Nintendo,False
514,Assassin's Creed: Brotherhood,PS3,2010,Action,Ubisoft,1.87,0.55,0.11,0.29,2.82,Playstation,Ubisoft,False
515,Finding Nemo,GBA,2003,Action,THQ Nordic,1.59,1.05,0.04,0.14,2.82,Nintendo,THQ Nordic,False
516,Zumba Fitness 2,Wii,2011,Sports,Majesco Entertainment,1.51,1.03,0.0,0.27,2.81,Nintendo,Other,False
517,Myst,PC,1994,Adventure,Red Orb,0.02,2.79,0.0,0.0,2.81,PC,Other,False
518,Medal of Honor,PS3,2010,Shooter,Electronic Arts,1.28,1.04,0.07,0.42,2.81,Playstation,Electronic Arts,False
519,Need for Speed: Most Wanted,PS3,2012,Racing,Electronic Arts,0.71,1.46,0.06,0.58,2.81,Playstation,Electronic Arts,False
520,Imagine: Fashion Designer,DS,2007,Simulation,Ubisoft,1.32,1.19,0.0,0.3,2.8,Nintendo,Ubisoft,False
521,WWE SmackDown! Here Comes the Pain,PS2,2003,Fighting,THQ Nordic,1.32,1.06,0.04,0.38,2.8,Playstation,THQ Nordic,False
522,Hot Shots Golf,PS,1997,Sports,Sony Interactive Entertainment,0.29,0.2,2.13,0.18,2.79,Playstation,Sony Interactive Entertainment,False
523,A Bug's Life,PS,1998,Platform,Sony Interactive Entertainment,1.96,0.72,0.0,0.11,2.79,Playstation,Sony Interactive Entertainment,False
524,WWF SmackDown! Just Bring It,PS2,2001,Fighting,THQ Nordic,1.19,1.15,0.04,0.41,2.79,Playstation,THQ Nordic,False
525,inFAMOUS: Second Son,PS4,2014,Action,Sony Interactive Entertainment,1.28,0.98,0.07,0.46,2.79,Playstation,Sony Interactive Entertainment,False
526,Dragon Quest V: Tenkuu no Hanayome,SNES,1992,Role-Playing,Enix Corporation,0.0,0.0,2.78,0.01,2.79,Nintendo,Other,False
527,Mortal Kombat Trilogy,PS,1996,Fighting,GT Interactive,1.98,0.7,0.0,0.11,2.79,Playstation,Other,False
528,Monster Hunter Tri,3DS,2011,Role-Playing,Nintendo,0.46,0.29,1.96,0.07,2.79,Nintendo,Nintendo,False
529,NBA Street,PS2,2001,Sports,Electronic Arts,2.19,0.22,0.0,0.38,2.79,Playstation,Electronic Arts,False
530,Jak II,PS2,2003,Platform,Sony Interactive Entertainment,1.68,0.74,0.0,0.36,2.78,Playstation,Sony Interactive Entertainment,False
531,Ratchet & Clank: Going Commando,PS2,2003,Platform,Sony Interactive Entertainment,1.44,0.83,0.26,0.25,2.78,Playstation,Sony Interactive Entertainment,False
532,Need for Speed: Hot Pursuit,PS3,2010,Racing,Electronic Arts,1.05,1.23,0.03,0.47,2.78,Playstation,Electronic Arts,False
533,Skylanders: Spyro's Adventure,Wii,2011,Action,Activision,1.35,1.13,0.0,0.3,2.78,Nintendo,Activision,False
534,Battlefield 3,PC,2011,Shooter,Electronic Arts,0.89,1.43,0.0,0.46,2.78,PC,Electronic Arts,False
535,Mortal Kombat X,PS4,2015,Fighting,Warner Bros. Interactive Entertainment,1.5,0.8,0.0,0.48,2.78,Playstation,Warner Bros. Interactive Entertainment,False
536,The Sims,PS2,2003,Simulation,Electronic Arts,1.41,1.12,0.0,0.24,2.77,Playstation,Electronic Arts,False
537,Killzone 3,PS3,2011,Shooter,Sony Interactive Entertainment,1.45,0.86,0.09,0.38,2.77,Playstation,Sony Interactive Entertainment,False
538,Star Wars: The Force Unleashed,X360,2008,Action,LucasArts,1.74,0.77,0.0,0.26,2.77,Xbox,Other,False
539,Minecraft,XOne,2014,Misc,Microsoft Game Studios,1.61,0.9,0.0,0.25,2.76,Xbox,Microsoft Game Studios,False
540,Yoshi's Island DS,DS,2006,Platform,Nintendo,1.45,0.07,1.1,0.15,2.76,Nintendo,Nintendo,False
541,Saints Row: The Third,X360,2011,Action,THQ Nordic,1.25,1.14,0.07,0.3,2.76,Xbox,THQ Nordic,False
542,Missile Command,2600,1980,Shooter,Atari,2.56,0.17,0.0,0.03,2.76,Atari,Atari,False
543,Mario Paint,SNES,1992,Misc,Nintendo,1.43,0.54,0.71,0.07,2.75,Nintendo,Nintendo,False
544,Tekken 6,PS3,2009,Fighting,Bandai Namco Entertainment,1.2,0.97,0.17,0.42,2.75,Playstation,Bandai Namco Entertainment,False
545,Pokémon Stadium 2,N64,2000,Strategy,Nintendo,1.02,0.36,1.13,0.23,2.73,Nintendo,Nintendo,False
546,Metroid,NES,1986,Action,Nintendo,1.33,0.31,1.04,0.05,2.73,Nintendo,Nintendo,False
547,Sonic and the Secret Rings,Wii,2007,Platform,Sega,1.21,1.19,0.04,0.29,2.73,Nintendo,Sega,False
548,FIFA 16,PS3,2015,Sports,Electronic Arts,0.41,1.84,0.05,0.4,2.71,Playstation,Electronic Arts,False
549,The Legend of Zelda: A Link to the Past,GBA,2002,Action,Nintendo,1.75,0.52,0.33,0.1,2.7,Nintendo,Nintendo,False
550,Onimusha: Warlords,PS2,2001,Action,Virgin Interactive,0.99,0.48,1.09,0.14,2.7,Playstation,Other,False
551,Mario Party,N64,1998,Misc,Nintendo,1.25,0.53,0.87,0.05,2.7,Nintendo,Nintendo,False
552,L.A. Noire,X360,2011,Adventure,Take-Two Interactive,1.52,0.92,0.02,0.24,2.7,Xbox,Take-Two Interactive,False
553,Call of Duty 3,X360,2006,Shooter,Activision,1.49,0.92,0.02,0.27,2.7,Xbox,Activision,False
554,Madden NFL 12,X360,2011,Sports,Electronic Arts,2.42,0.11,0.0,0.16,2.69,Xbox,Electronic Arts,False
555,LEGO Star Wars II: The Original Trilogy,PS2,2006,Action,LucasArts,1.85,0.64,0.01,0.19,2.69,Playstation,Other,False
556,Killzone: Shadow Fall,PS4,2013,Shooter,Sony Interactive Entertainment,0.89,1.33,0.08,0.39,2.69,Playstation,Sony Interactive Entertainment,False
557,Madden NFL 11,X360,2010,Sports,Electronic Arts,2.38,0.12,0.0,0.18,2.69,Xbox,Electronic Arts,False
558,Burnout 3: Takedown,PS2,2004,Racing,Electronic Arts,1.23,1.11,0.0,0.34,2.68,Playstation,Electronic Arts,False
559,Yokai Watch 2 Shinuchi,3DS,2014,Role-Playing,Level 5,0.0,0.0,2.68,0.0,2.68,Nintendo,Other,False
560,Mortal Kombat,GEN,1992,Fighting,Arena Entertainment,1.95,0.63,0.0,0.09,2.67,Sega,Other,False
561,Mario vs. Donkey Kong: Mini-Land Mayhem!,DS,2010,Puzzle,Nintendo,1.63,0.51,0.35,0.18,2.67,Nintendo,Nintendo,False
562,Professor Layton and the Last Specter,DS,2009,Puzzle,Nintendo,0.28,1.39,0.68,0.32,2.67,Nintendo,Nintendo,False
563,Call Of Duty 2: Big Red One,PS2,2005,Shooter,Activision,1.48,0.92,0.01,0.26,2.67,Playstation,Activision,False
564,Medal of Honor,PS,1998,Shooter,Electronic Arts,1.44,1.09,0.0,0.14,2.67,Playstation,Electronic Arts,False
565,Fable,XB,2004,Role-Playing,Microsoft Game Studios,1.99,0.58,0.0,0.09,2.66,Xbox,Microsoft Game Studios,False
566,Guitar Hero: World Tour,X360,2008,Misc,Activision,1.78,0.63,0.0,0.25,2.66,Xbox,Activision,False
567,FIFA 17,XOne,2016,Sports,Electronic Arts,0.43,2.05,0.0,0.17,2.65,Xbox,Electronic Arts,False
568,Hannah Montana,DS,2006,Action,Disney Interactive Studios,1.59,0.8,0.0,0.26,2.65,Nintendo,Disney Interactive Studios,False
569,Tom Clancy's Splinter Cell,PS2,2003,Action,Ubisoft,1.15,1.11,0.0,0.4,2.65,Playstation,Ubisoft,False
570,Super Mario Bros.: The Lost Levels,NES,1986,Platform,Nintendo,0.0,0.0,2.65,0.0,2.65,Nintendo,Nintendo,False
571,Need for Speed: Shift,PS3,2009,Racing,Electronic Arts,0.69,1.4,0.04,0.52,2.65,Playstation,Electronic Arts,False
572,Star Wars: Shadows of the Empire,N64,1996,Action,Nintendo,2.0,0.5,0.12,0.03,2.65,Nintendo,Nintendo,False
573,Medal of Honor Heroes,PSP,2006,Shooter,Electronic Arts,0.86,1.11,0.01,0.66,2.65,Playstation,Electronic Arts,False
574,Final Fantasy XIII-2,PS3,2011,Role-Playing,Square Enix,0.78,0.73,0.89,0.23,2.63,Playstation,Square Enix,False
575,Midnight Club: Street Racing,PS2,2000,Racing,Take-Two Interactive,2.0,0.47,0.02,0.14,2.63,Playstation,Take-Two Interactive,False
576,Skate 3,X360,2010,Sports,Electronic Arts,1.47,0.93,0.0,0.24,2.63,Xbox,Electronic Arts,False
577,ESPN NFL 2K5,PS2,2004,Sports,Sega,2.15,0.12,0.0,0.36,2.62,Playstation,Sega,False
578,Halo Wars,X360,2009,Strategy,Microsoft Game Studios,1.54,0.8,0.04,0.24,2.62,Xbox,Microsoft Game Studios,False
579,NBA 2K12,X360,2011,Sports,Take-Two Interactive,2.31,0.14,0.01,0.16,2.62,Xbox,Take-Two Interactive,False
580,Pac-Man: Adventures in Time,PSP,2006,Fighting,Sony Interactive Entertainment,0.76,1.09,0.12,0.64,2.62,Playstation,Sony Interactive Entertainment,False
581,FIFA Soccer 10,X360,2009,Sports,Electronic Arts,0.59,1.79,0.01,0.23,2.62,Xbox,Electronic Arts,False
582,Medal of Honor,X360,2010,Shooter,Electronic Arts,1.56,0.8,0.04,0.21,2.61,Xbox,Electronic Arts,False
583,Harry Potter and the Chamber of Secrets,PS2,2002,Action,Electronic Arts,0.9,1.22,0.04,0.44,2.61,Playstation,Electronic Arts,False
584,Streets of Rage,GEN,1990,Action,Sega,1.86,0.55,0.11,0.08,2.6,Sega,Sega,False
585,God of War Collection,PS3,2009,Action,Sony Interactive Entertainment,1.7,0.44,0.06,0.4,2.6,Playstation,Sony Interactive Entertainment,False
586,NBA Live 2005,PS2,2004,Sports,Electronic Arts,2.03,0.21,0.0,0.35,2.59,Playstation,Electronic Arts,False
587,Mario Strikers Charged,Wii,2007,Sports,Nintendo,1.05,1.05,0.24,0.24,2.58,Nintendo,Nintendo,False
588,FIFA Soccer 09,PS3,2008,Sports,Electronic Arts,0.48,1.63,0.04,0.43,2.58,Playstation,Electronic Arts,False
589,Style Savvy,DS,2008,Simulation,Nintendo,0.62,0.82,0.96,0.18,2.58,Nintendo,Nintendo,False
590,WWE SmackDown vs. RAW 2007,PS2,2006,Fighting,THQ Nordic,1.4,0.88,0.03,0.26,2.58,Playstation,THQ Nordic,False
591,LEGO Star Wars: The Complete Saga,X360,2007,Action,LucasArts,1.53,0.81,0.0,0.24,2.57,Xbox,Other,False
592,Ratchet & Clank: Up Your Arsenal,PS2,2004,Platform,Sony Interactive Entertainment,1.31,0.74,0.31,0.22,2.57,Playstation,Sony Interactive Entertainment,False
593,Madden NFL 08,PS2,2007,Sports,Electronic Arts,2.14,0.08,0.0,0.35,2.57,Playstation,Electronic Arts,False
594,Monster Hunter Freedom 2,PSP,2007,Role-Playing,Capcom,0.37,0.27,1.75,0.18,2.57,Playstation,Capcom,False
595,Ratchet & Clank Future: Tools of Destruction,PS3,2007,Platform,Sony Interactive Entertainment,0.93,1.1,0.08,0.45,2.56,Playstation,Sony Interactive Entertainment,False
596,Super Mario All-Stars: Limited Edition,Wii,2010,Platform,Nintendo,0.99,0.52,0.92,0.14,2.56,Nintendo,Nintendo,False
597,Sonic Adventure 2 Battle,GC,2001,Platform,Sega,1.7,0.59,0.21,0.07,2.56,Nintendo,Sega,False
598,Dragon Warrior II,NES,1987,Role-Playing,Enix Corporation,0.15,0.0,2.41,0.0,2.56,Nintendo,Other,False
599,Ghostbusters: The Video Game (DS Version),X360,2009,Action,Take-Two Interactive,1.04,1.22,0.03,0.27,2.56,Xbox,Take-Two Interactive,False
600,Madden NFL 13,PS3,2012,Sports,Electronic Arts,2.11,0.22,0.0,0.23,2.56,Playstation,Electronic Arts,False
601,Dragon Age: Origins,X360,2009,Role-Playing,Electronic Arts,1.76,0.55,0.03,0.22,2.56,Xbox,Electronic Arts,False
602,Pokémon Colosseum,GC,2003,Role-Playing,Nintendo,1.21,0.57,0.7,0.07,2.54,Nintendo,Nintendo,False
603,LittleBigPlanet,PSP,2009,Platform,Sony Interactive Entertainment,0.64,1.22,0.01,0.67,2.54,Playstation,Sony Interactive Entertainment,False
604,Madden NFL 09,X360,2008,Sports,Electronic Arts,2.21,0.12,0.0,0.2,2.53,Xbox,Electronic Arts,False
605,Crazy Taxi,PS2,2001,Racing,Acclaim Entertainment,1.13,1.12,0.06,0.22,2.52,Playstation,Acclaim Entertainment,False
606,Art Academy,DS,2010,Misc,Nintendo,0.26,1.65,0.33,0.28,2.52,Nintendo,Nintendo,False
607,NBA 2K14,X360,2013,Sports,Take-Two Interactive,2.1,0.19,0.0,0.23,2.52,Xbox,Take-Two Interactive,False
608,Perfect Dark,N64,2000,Action,Nintendo,1.55,0.75,0.16,0.06,2.52,Nintendo,Nintendo,False
609,Skylanders Giants,Wii,2012,Action,Activision,1.48,0.83,0.0,0.21,2.52,Nintendo,Activision,False
610,Dragon Warrior,NES,1986,Role-Playing,Capcom,0.49,0.0,0.52,1.51,2.52,Nintendo,Capcom,False
611,Deca Sports,Wii,2008,Sports,Konami Digital Entertainment,1.11,0.85,0.29,0.25,2.5,Nintendo,Konami Digital Entertainment,False
612,PES 2009: Pro Evolution Soccer,PS2,2008,Sports,Konami Digital Entertainment,0.13,0.07,0.26,2.05,2.5,Playstation,Konami Digital Entertainment,False
613,Mario Party 2,N64,1999,Misc,Nintendo,1.28,0.14,1.08,0.01,2.5,Nintendo,Nintendo,False
614,Marvel: Ultimate Alliance,X360,2006,Role-Playing,Activision,2.29,0.02,0.0,0.19,2.5,Xbox,Activision,False
615,Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,XB,2003,Action,Take-Two Interactive,1.84,0.56,0.0,0.09,2.49,Xbox,Take-Two Interactive,False
616,Mortal Kombat: Deadly Alliance,PS2,2002,Fighting,Midway Games,1.81,0.52,0.0,0.15,2.49,Playstation,Midway Games,False
617,Game Party,Wii,2007,Misc,Midway Games,1.47,0.77,0.0,0.24,2.48,Nintendo,Midway Games,False
618,Bloodborne,PS4,2015,Action,Sony Interactive Entertainment,1.03,0.81,0.26,0.38,2.48,Playstation,Sony Interactive Entertainment,False
619,Tomb Raider: The Last Revelation,PS,1998,Action,Eidos Interactive,1.15,1.14,0.06,0.13,2.48,Playstation,Eidos Interactive,False
620,Mario Party 4,GC,2002,Misc,Nintendo,1.13,0.36,0.92,0.07,2.47,Nintendo,Nintendo,False
621,Pure,X360,2008,Racing,Disney Interactive Studios,1.38,0.84,0.0,0.25,2.47,Xbox,Disney Interactive Studios,False
622,NBA 2K13,PS3,2012,Sports,Take-Two Interactive,1.73,0.43,0.05,0.27,2.47,Playstation,Take-Two Interactive,False
623,Saints Row: The Third,PS3,2011,Action,THQ Nordic,0.86,1.04,0.18,0.38,2.47,Playstation,THQ Nordic,False
624,Resistance 2,PS3,2008,Shooter,Sony Interactive Entertainment,1.15,0.84,0.1,0.38,2.46,Playstation,Sony Interactive Entertainment,False
625,NBA 2K15,PS4,2014,Sports,Take-Two Interactive,1.47,0.54,0.01,0.43,2.45,Playstation,Take-Two Interactive,False
626,Final Fantasy V,SNES,1992,Role-Playing,Square Enix,0.0,0.0,2.43,0.02,2.45,Nintendo,Square Enix,False
627,Final Fantasy Tactics,PS,1997,Role-Playing,Square Enix,0.93,0.12,1.34,0.06,2.45,Playstation,Square Enix,False
628,Midnight Club: Los Angeles,PS3,2008,Racing,Take-Two Interactive,1.56,0.53,0.05,0.31,2.45,Playstation,Take-Two Interactive,False
629,Twisted Metal 2,PS,1996,Racing,Sony Interactive Entertainment,2.12,0.25,0.0,0.07,2.44,Playstation,Sony Interactive Entertainment,False
630,The Sims: Bustin' Out,PS2,2003,Simulation,Electronic Arts,1.07,1.19,0.0,0.18,2.43,Playstation,Electronic Arts,False
631,Riven: The Sequel to Myst,PC,1997,Adventure,Red Orb,1.52,0.82,0.0,0.1,2.43,PC,Other,False
632,LEGO Harry Potter: Years 1-4,Wii,2010,Action,Warner Bros. Interactive Entertainment,1.28,0.93,0.0,0.22,2.43,Nintendo,Warner Bros. Interactive Entertainment,False
633,Need for Speed (2015),PS4,2015,Racing,Electronic Arts,0.5,1.5,0.05,0.37,2.43,Playstation,Electronic Arts,False
634,Call of Duty: Infinite Warfare,XOne,2016,Shooter,Activision,1.46,0.74,0.0,0.22,2.42,Xbox,Activision,False
635,Madden NFL 16,XOne,2015,Sports,Electronic Arts,2.08,0.08,0.0,0.26,2.42,Xbox,Electronic Arts,False
636,Ice Hockey,NES,1988,Sports,Nintendo,1.27,0.32,0.78,0.05,2.42,Nintendo,Nintendo,False
637,Sonic Adventure,DC,1998,Platform,Sega,1.26,0.61,0.46,0.08,2.42,Sega,Sega,False
638,Tom Clancy's Rainbow Six: Vegas 2,X360,2008,Shooter,Ubisoft,1.56,0.6,0.02,0.23,2.42,Xbox,Ubisoft,False
639,uDraw Studio,Wii,2010,Misc,THQ Nordic,1.65,0.57,0.0,0.2,2.42,Nintendo,THQ Nordic,False
640,Tomb Raider (2013),PS3,2013,Action,Square Enix,0.6,1.26,0.08,0.48,2.42,Playstation,Square Enix,False
641,Need for Speed Carbon: Own the City,PSP,2006,Racing,Electronic Arts,0.87,0.97,0.0,0.58,2.42,Playstation,Electronic Arts,False
642,Dragon Ball Z: Budokai 2,PS2,2003,Fighting,Atari,1.63,0.22,0.51,0.06,2.41,Playstation,Atari,False
643,pro evolution soccer 2011,PS3,2010,Sports,Konami Digital Entertainment,0.29,1.17,0.54,0.41,2.41,Playstation,Konami Digital Entertainment,False
644,ATV Offroad Fury,PS2,2001,Racing,Sony Interactive Entertainment,2.07,0.26,0.0,0.08,2.41,Playstation,Sony Interactive Entertainment,False
645,Dino Crisis,PS,1998,Action,Capcom,0.81,0.76,0.7,0.14,2.41,Playstation,Capcom,False
646,Need for Speed: ProStreet,PS2,2007,Racing,Electronic Arts,0.69,0.0,0.04,1.68,2.41,Playstation,Electronic Arts,False
647,Halo: Combat Evolved Anniversary,X360,2011,Shooter,Microsoft Game Studios,1.44,0.7,0.04,0.22,2.4,Xbox,Microsoft Game Studios,False
648,Tetris Plus,PS,1996,Puzzle,JVC,2.1,0.24,0.0,0.07,2.4,Playstation,Other,False
649,Pro Wrestling,NES,1987,Fighting,Nintendo,0.77,0.18,1.42,0.03,2.4,Nintendo,Nintendo,False
650,Theme Hospital,PC,1997,Strategy,Electronic Arts,2.3,0.1,0.0,0.0,2.4,PC,Electronic Arts,False
651,Monopoly,PC,1994,Misc,Hasbro Interactive,1.49,0.81,0.0,0.1,2.39,PC,Other,False
652,Guitar Hero,PS2,2005,Misc,RedOctane,1.67,0.61,0.03,0.07,2.38,Playstation,Other,False
653,Madden NFL 11,PS3,2010,Sports,Electronic Arts,2.04,0.15,0.0,0.2,2.38,Playstation,Electronic Arts,False
654,WCW/nWo Revenge,N64,1998,Fighting,THQ Nordic,1.94,0.39,0.03,0.02,2.38,Nintendo,THQ Nordic,False
655,Yu-Gi-Oh! The Duelists of the Roses,PS2,2001,Misc,Konami Digital Entertainment,1.16,0.91,0.0,0.3,2.38,Playstation,Konami Digital Entertainment,False
656,Dead Island,X360,2011,Action,Deep Silver,1.48,0.69,0.0,0.2,2.37,Xbox,Deep Silver,False
657,Half-Life 2,PC,2004,Shooter,Vivendi Games,2.28,0.02,0.08,0.0,2.37,PC,Vivendi Games,False
658,The Incredibles,PS2,2004,Action,THQ Nordic,0.96,1.08,0.04,0.3,2.37,Playstation,THQ Nordic,False
659,Madden NFL 08,X360,2007,Sports,Electronic Arts,2.18,0.01,0.0,0.18,2.37,Xbox,Electronic Arts,False
660,Tony Hawk's Underground 2,PS2,2004,Sports,Activision,1.25,0.86,0.01,0.26,2.37,Playstation,Activision,False
661,Zumba Fitness,X360,2010,Sports,505 Games,1.74,0.45,0.0,0.18,2.37,Xbox,505 Games,False
662,Madden NFL 10,PS3,2009,Sports,Electronic Arts,2.03,0.13,0.0,0.21,2.37,Playstation,Electronic Arts,False
663,Kirby's Dream Land 2,GB,1995,Platform,Nintendo,0.69,0.14,1.48,0.05,2.36,Nintendo,Nintendo,False
664,Midnight Club: Los Angeles,X360,2008,Racing,Take-Two Interactive,1.68,0.45,0.01,0.21,2.35,Xbox,Take-Two Interactive,False
665,Donkey Kong Land II,GB,1996,Platform,Nintendo,1.39,0.48,0.4,0.08,2.35,Nintendo,Nintendo,False
666,Dragon Warrior Monsters,GB,1998,Role-Playing,Eidos Interactive,0.0,0.0,2.34,0.01,2.35,Nintendo,Eidos Interactive,False
