,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Console_Product,Filtered_Publisher,Global_Sales (zeros)
14774,Steel Battalion: Line of Contact,XB,2004,Simulation,Capcom,0.02,0.01,0.0,0.0,0.02,Xbox,Capcom,False
14775,Reco Love: Blue Ocean,PSV,2016,Adventure,Kadokawa Games,0.0,0.0,0.02,0.0,0.02,Playstation,Other,False
14776,Ken to Mahou to Gakuen Mono. 2G,PS3,2010,Role-Playing,Acquire,0.0,0.0,0.02,0.0,0.02,Playstation,Other,False
14777,NBA Starting Five,XB,2002,Sports,Konami Digital Entertainment,0.02,0.01,0.0,0.0,0.02,Xbox,Konami Digital Entertainment,False
14778,Kami Naru Kimi to,PSP,2011,Adventure,Idea Factory International,0.0,0.0,0.02,0.0,0.02,Playstation,Idea Factory International,False
14779,Spy Hunter: Nowhere To Run,PS2,2006,Racing,Midway Games,0.01,0.01,0.0,0.0,0.02,Playstation,Midway Games,False
14780,Ikki Tousen: Eloquent Fist,PSP,2008,Fighting,Marvelous Entertainment,0.0,0.0,0.02,0.0,0.02,Playstation,Other,False
14781,Final Fantasy XIV: Heavensward,PC,2015,Action,Square Enix,0.01,0.01,0.0,0.0,0.02,PC,Square Enix,False
14782,Omega Quintet,PS4,2014,Role-Playing,Compile Heart,0.0,0.0,0.02,0.0,0.02,Playstation,Other,False
14783,Disney's Magical Quest 3 Starring Mickey and Donald,GBA,2003,Action,Capcom,0.02,0.01,0.0,0.0,0.02,Nintendo,Capcom,False
14784,TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.1,PS3,2015,Action,Bandai Namco Entertainment,0.0,0.0,0.02,0.0,0.02,Playstation,Bandai Namco Entertainment,False
14785,Carmen Sandiego: The Secret of the Stolen Drums,XB,2004,Action,BAM! Entertainment,0.02,0.01,0.0,0.0,0.02,Xbox,Other,False
